route,logical_attempts,success_rate,latency_seconds_mean,latency_seconds_median,latency_seconds_p95,latency_seconds_p99,latency_seconds_min,latency_seconds_max,coordinator_transactions,coordinator_gas_used,coordinator_gas_mean,xir
HH,10000,1.0,156.4594863413334,7.088574290275574,12.194979429244995,21.078248739242554,2.7699859142303467,30392.37066578865,10000,942555397,94255.5397,False
LL,10000,1.0,157.56989389898777,5.155273795127869,6.153311252593994,7.952569484710693,4.238701581954956,30389.311988592148,10000,1919916016,191991.6016,False
HL,10000,1.0,169.26732854440212,10.904444217681885,14.862959861755371,23.023338079452515,7.53994607925415,30847.936376333237,50000,7219208191,144384.16382,True
LH,10000,1.0,169.29239390351773,10.962566018104553,14.044737100601196,22.949866771697998,7.606190919876099,30843.902700185776,50000,7287099433,145741.98866,True
