route,repetition,attempt_id,profile_hash,disable_tx,disable_block,disable_enabled,rejected_delivery_tx,rejected_delivery_block,actual_rejection,application_effects,gateway_consumed_after,receiver_consumed_after,restore_tx,restore_block,restore_enabled,sequence_valid
HL,13,security_008978ede16f84e089c91693b7e7fb72,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0x8282eb943dc236c4a419c7fcc57a9a571de88d0e67db9b2ef0d1f074f304b6ff,16082,False,0xbbfe23248f2ec1c2be7db2b6641baad270c8fa74b852aade7992819dd7f962ce,16083,ProfileInactive,0,False,False,0x08c3a2afe1563ae10b447e097c719f288f3023b0987c7c2692aa4592271980ef,16084,True,True
HL,14,security_d15d9f42c6fe2c3e47711605db4ab97d,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0x3fb4ab9908696f2c0a5d82173a83eb846602ce946f26ceb64e4f7f9fcbe2ae54,16096,False,0xb2127b6e3a45c5bf1d88ef526d5b8c972601f1f2fecab7bdb48ce5e6af8ebb81,16097,ProfileInactive,0,False,False,0x94920a5471d801dfb67349f1587c2fb35a6c93e85cb4444e2e0acb7055604d59,16098,True,True
HL,15,security_fc8c438dfc38fbf9f5b4da23837ababe,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0xb31ef4ed17a824bfcbbed4474d229a0bd045ca3f9c136bf234bdd893fe4c31ed,16110,False,0x9b3e3553fdee5e4d7e7aa8b3bc6afd87ff1f61c9c00f34bdad3de1ba31f80569,16111,ProfileInactive,0,False,False,0xb298527ec63dac93ca6cd99ae7f6c5c336fab2defafc68d1afb200b737701d83,16112,True,True
HL,16,security_14ad59799972a86da4d2991b5b73f437,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0xaf7371015751032ad2a224d495f5484517f553637e907e04c0d9579e89f37b8f,16124,False,0xa07c29cd3f2074ffe045b76c2ef310d3804efba1955505869ee8b47f2368ba51,16125,ProfileInactive,0,False,False,0xfc5f5ec10b1b1d3a6dc4b43b0f389108c3de72e19dae5c79c9563e0117cc5501,16126,True,True
HL,17,security_76e9f96b8acee3b4eac521676fdf91f4,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0xf3d68b05c1a3a7829b68955e2b3874f45bc3e7794fedf9d868f75b88a3a788dd,16137,False,0xbd7d6023355854af02fb08afafb002973ec486748342337b5f578b6c7d952daf,16138,ProfileInactive,0,False,False,0x943529fb2d2b2f7353621aef05ca3afa2cca2ce39b05bb2dd58f956465b79a69,16139,True,True
HL,18,security_1e78b31387c1d8b0ebde6a1d6ccb63ea,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0x351428816324fda0c6eed554cb76ec04e27c288787fd65b277cd91c66a083699,16151,False,0xb4043d4efdb68d284b9be86b8550beaaa153f3811668f24da9676fa5c7c00c96,16152,ProfileInactive,0,False,False,0x0e8d4922d1a20490cca62f507b107f44fc91db0adcd8888fdd7938a84a960f2b,16153,True,True
HL,19,security_cc3c0ecbcef9080b96384c1676a69231,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0x7c45a88a7dbb263f4ceb0d91f65124b17eb611d302ab6584185a6d384710d57b,16165,False,0x078ec6844b6e7b9eb7fbd18e3dd84c428b35c62cabb7756faec7d02331e44e07,16166,ProfileInactive,0,False,False,0x10e27069a2aa2bbbd0fc4efc426d74397c498d7d1c051f7d4733e37691c62506,16167,True,True
HL,20,security_a6dea8390d33eedc63d502d47380f254,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0xbc7dc08280689f556e5bd93ca57f444691e381a06f37059b6a8fc16c1f8caefa,16178,False,0x5fbe4ab791995f4d80bab2509c04a30482f9aba1fe463c356d0afd2c9b725545,16179,ProfileInactive,0,False,False,0x4bc595e4755475c1c100b73e977b1258b44604afeb27b46a5e5d8c9b6c2f9828,16180,True,True
HL,21,security_613bbc4418822b7054b04197c730d4a8,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0x10b393d676b28d1e96323c3c08b99e8da963cbd0285e48486ca5b5efd7da9de7,16191,False,0x7e01d3f666d8d0709c1b13842f59e73edf37aa139e00b8cf86fc15b27bd1defb,16192,ProfileInactive,0,False,False,0xccade574cd8963dfac97d818dfd6949813adcb6c54e98389cc4084e2462169b3,16193,True,True
HL,22,security_163b0413d39677f0aeefc35011b742d1,0x0d79810296aedf4203b7c0679a0e92096735a3820ef3c67585d64f954e995fdc,0xe38536363ee662305a5adef6438e4083238a374c25455232aeb624a3515f5d79,16205,False,0x6e8c2e20d12171c7b7d8b0650c0d37d134f194e592d08d4f085f1b9b30c5f0ad,16206,ProfileInactive,0,False,False,0x904b6202208e26c6bdcea11c7920b3d606727d4f3f25fd981636c5cb48a25422,16207,True,True
